"countryCode","postalCode","city","state","stateShort","countyProvince","countyProvinceShort","community","communityShort","latitude","longitude","accuracy"
"CY","5280","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5281","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5282","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5283","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5284","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5285","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5286","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5288","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5289","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5290","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5291","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5292","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5295","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5296","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5297","Paralimni","Ammochostos","01","","","","","35.0395","33.9818","4"
"CY","5320","Liopetri","Ammochostos","01","","","","","35.0088","33.8926","4"
"CY","5330","Agia Napa","Ammochostos","01","","","","","34.9821","34.0018","4"
"CY","5350","Frenaros","Ammochostos","01","","","","","35.0412","33.9224","4"
"CY","5370","Kato Deryneia","Ammochostos","01","","","","","35.0246","33.9459","1"
"CY","5380","Deryneia","Ammochostos","01","","","","","35.0648","33.9608","4"
"CY","5390","Sotira Ammochostou","Ammochostos","01","","","","","35.0262","33.9518","4"
"CY","5391","Agia Thekla","Ammochostos","01","","","","","35.0262","33.9518","1"
"CY","5500","Achna","Ammochostos","01","","","","","35.0552","33.7839","4"
"CY","5510","Avgorou","Ammochostos","01","","","","","35.0362","33.8392","4"
"CY","5520","Agios Georgios Acheritou","Ammochostos","01","","","","","35.1002","33.8615","1"
"CY","5521","Acheritou","Ammochostos","01","","","","","35.1002","33.8615","4"
"CY","5522","Vrysoules","Ammochostos","01","","","","","35.1002","33.8615","1"
"CY","5523","Dasaki Achnas","Ammochostos","01","","","","","35.1002","33.8615","1"
"CY","5524","Moni Agiou Kendeou","Ammochostos","01","","","","","35.1002","33.8615","1"
"CY","5525","Strovili","Ammochostos","01","","","","","35.1002","33.8615","1"
"CY","5540","Lysi","Ammochostos","01","","","","","35.1047","33.681","4"
"CY","5560","Afanteia - Ornithi","Ammochostos","01","","","","","35.1198","33.717","1"
"CY","5561","Asseia (Askeia)","Ammochostos","01","","","","","35.1198","33.717","1"
"CY","5562","Vatili","Ammochostos","01","","","","","35.1334","33.6556","4"
"CY","5563","Kalopsida","Ammochostos","01","","","","","35.0964","33.794","4"
"CY","5564","Kontea","Ammochostos","01","","","","","35.1027","33.7158","4"
"CY","5565","Kouklia Ammochostou","Ammochostos","01","","","","","35.1085","33.7507","4"
"CY","5566","Makrasyka","Ammochostos","01","","","","","35.074","33.7622","4"
"CY","5567","Sinta","Ammochostos","01","","","","","35.1571","33.7011","4"
"CY","5568","Strongylos","Ammochostos","01","","","","","35.1664","33.6392","4"
"CY","5600","Lefkonoiko","Ammochostos","01","","","","","35.2598","33.7319","4"
"CY","5620","Agios Nikolaos Ammochostou","Ammochostos","01","","","","","35.2305","33.8005","1"
"CY","5621","Agios Sergios","Ammochostos","01","","","","","35.1964","33.8742","4"
"CY","5622","Artemi","Ammochostos","01","","","","","35.3206","33.7105","4"
"CY","5623","Aloda","Ammochostos","01","","","","","35.2107","33.8266","4"
"CY","5624","Gaidouras (Nea Sparti)","Ammochostos","01","","","","","35.2305","33.8005","1"
"CY","5625","Goufes","Ammochostos","01","","","","","35.2826","33.6878","4"
"CY","5626","Gypsou","Ammochostos","01","","","","","35.2598","33.7863","4"
"CY","5627","Egkomi Ammochostou","Ammochostos","01","","","","","35.1627","33.8832","4"
"CY","5628","Limnia","Ammochostos","01","","","","","35.1996","33.8586","4"
"CY","5629","Maratha","Ammochostos","01","","","","","35.2118","33.7769","4"
"CY","5630","Melounta","Ammochostos","01","","","","","35.3326","33.6893","4"
