"countryCode","postalCode","city","state","stateShort","countyProvince","countyProvinceShort","community","communityShort","latitude","longitude","accuracy"
"MA","32000","Al Hoceima","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.2516","-3.9372","4"
"MA","32003","Ait Youssef Ou Ali","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.1065","-3.9685","1"
"MA","32004","Arbaa Taourirt","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","34.9265","-3.832","4"
"MA","32006","Rouadi","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.1412","-4.1363","4"
"MA","32013","Senada","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.0745","-4.2158","4"
"MA","32014","Torres De Alcala","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.1521","-4.3259","4"
"MA","32022","Ait Kamra","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.0672","-3.9867","1"
"MA","32023","Chakrane","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","34.95","-3.98","4"
"MA","32024","Izemmouren","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.1844","-3.9933","4"
"MA","32050","Bni Bouayach","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.1051","-3.8403","4"
"MA","32072","Nekkour","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.0982","-4.0326","1"
"MA","32102","Bni Boufrah","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.1002","-4.3106","4"
"MA","32122","Beni Gmil Mestassa","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.0584","-4.1738","1"
"MA","32152","Bni Hadifa","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.0225","-4.1401","4"
"MA","32172","Bni Abdallah","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.0526","-4.0707","4"
"MA","32202","Imrabten","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.1464","-3.8506","1"
"MA","32250","Imzouren","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.1464","-3.8506","4"
"MA","32253","Troukout","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.1464","-3.8506","1"
"MA","32302","Issaguen","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","34.9391","-4.4938","1"
"MA","32322","Ikaouen","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","34.7492","-4.6575","4"
"MA","32323","Ketama","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","34.9177","-4.5713","4"
"MA","32324","Tabarannt","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","34.9395","-4.5522","1"
"MA","32325","Taghzout","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","35.1517","-4.4277","4"
"MA","32326","Tizi Tchen","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","34.9395","-4.5522","1"
"MA","32350","Targuist","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","34.9377","-4.3186","4"
"MA","32352","Bni Ammart","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","34.9377","-4.3186","1"
"MA","32372","Ain Benabbou","Tanger-Tetouan-Al Hoceima","01","Al-Hoceima","051","","","34.9391","-4.4938","1"
