LastName,FemaleFirstName,MaleFirstName
Adamczyk,Adela,Adam
Antczak,Adelajda,Adolf
Augustyniak,Adriana,Adrian
Bąk,Adrianna,Albert
Banach,Agata,Albin
Banaś,Agnieszka,Aleksander
Banasiak,Albina,Aleksy
Baran,Aldona,Alfons
Bartczak,Aleksandra,Alfred
Bartkowiak,Alfreda,Alojzy
Bednarczyk,Alicja,Anatol
Bednarek,Alina,Andrzej
Bednarz,Amelia,Antoni
Białek,Anastazja,Apolinary
Bieniek,Aneta,Arkadiusz
Biernat,Anetta,Arnold
Błaszczyk,Angelika,Artur
Bogusz,Aniela,August
Buczek,Anita,Augustyn
Chmiel,Anna,Bartłomiej
Cichoń,Antonina,Bartosz
Cieśla,Apolonia,Bazyl
Cieślak,Arleta,Bazyli
Cieślik,Aurelia,Benedykt
Czaja,Balbina,Benon
Czajka,Barbara,Bernard
Czech,Beata,Błażej
Czyż,Bernadeta,Bogdan
Długosz,Bernadetta,Bogumił
Domagała,Bernarda,Bogusław
Drozd,Blandyna,Bohdan
Duda,Bogna,Bolesław
Dudek,Bogumiła,Bonifacy
Dziedzic,Bogusława,Borys
Filipiak,Bolesława,Bronisław
Frączek,Bożena,Brunon
Gajda,Bożenna,Cezary
Gąsior,Bronisława,Czesław
Gawron,Brygida,Damian
Gil,Cecylia,Daniel
Góra,Celina,Dariusz
Górka,Czesława,Dawid
Górny,Dagmara,Dionizy
Graczyk,Daniela,Dominik
Gruszka,Danuta,Donat
Grzelak,Daria,Dymitr
Grzyb,Domicela,Edmund
Janiak,Dominika,Edward
Janik,Donata,Edwin
Janus,Dorota,Eligiusz
Jarosz,Edeltrauda,Emanuel
Jóźwiak,Edwarda,Emil
Jurek,Edyta,Emilian
Kacprzak,Eleonora,Ernest
Kaczmarczyk,Elfryda,Erwin
Kaczmarek,Eliza,Eryk
Kaczor,Elwira,Eugeniusz
Kaleta,Elżbieta,Euzebiusz
Kania,Emilia,Ewald
Kasprzak,Erna,Fabian
Kasprzyk,Eryka,Feliks
Kaźmierczak,Eugenia,Ferdynand
Klimczak,Eulalia,Filip
Klimek,Ewa,Florian
Kłos,Ewelina,Franciszek
Kołodziej,Felicja,Fryderyk
Kołodziejczyk,Feliksa,Gabriel
Konieczny,Filomena,Gerard
Konopka,Florentyna,Gerhard
Kopeć,Franciszka,Ginter
Kostrzewa,Gabriela,Grzegorz
Kot,Genowefa,Gustaw
Kowal,Gerda,Helmut
Kowalczyk,Gertruda,Henryk
Kowalik,Gizela,Herbert
Kozak,Grażyna,Heronim
Kozieł,Halina,Hieronim
Kozioł,Hanna,Hilary
Krawczyk,Helena,Hipolit
Krawiec,Henryka,Horst
Król,Hildegarda,Hubert
Kruk,Honorata,Idzi
Krupa,Ilona,Ignacy
Książek,Inga,Igor
Kubiak,Irena,Ireneusz
Kubik,Irmina,Izydor
Kucharczyk,Iwona,Jacek
Kujawa,Izabela,Jacenty
Kula,Izabella,Jakub
Kulesza,Jadwiga,Jan
Kulik,Janina,January
Kurek,Jarosława,Janusz
Kuś,Joanna,Jarosław
Kwiecień,Jolanta,Jędrzej
Lech,Józefa,Jerzy
Leśniak,Julia,Joachim
Lis,Julianna,Józef
Łuczak,Julita,Julian
Łukasik,Justyna,Juliusz
Maćkowiak,Kamila,Kajetan
Madej,Karina,Kamil
Maj,Karolina,Karol
Majchrzak,Katarzyna,Kazimierz
Małek,Kazimiera,Klaudiusz
Marciniak,Kinga,Klemens
Marczak,Klara,Konrad
Marek,Klaudia,Konstanty
Markiewicz,Klementyna,Krystian
Marszałek,Kornelia,Krystyn
Marzec,Krystyna,Krzysztof
Matusiak,Krzysztofa,Ksawery
Matysiak,Kunegunda,Lech
Mazur,Leokadia,Lechosław
Mazurek,Leonarda,Leon
Mazurkiewicz,Leontyna,Leonard
Michalak,Lidia,Leopold
Michalik,Lila,Lesław
Mielczarek,Lilia,Leszek
Mikołajczak,Liliana,Longin
Mikołajczyk,Lilianna,Lubomir
Młynarczyk,Lilla,Lucjan
Mróz,Longina,Łucjan
Mucha,Luba,Ludomir
Musiał,Lucja,Ludwik
Niemiec,Łucja,Łukasz
Nowak,Lucyna,Maciej
Olejniczak,Ludmiła,Maksymilian
Olejnik,Ludwika,Manfred
Owczarek,Luiza,Marceli
Pająk,Magdalena,Marcin
Pałka,Małgorzata,Marek
Paluch,Maria,Marian
Panek,Marianna,Mariusz
Pawlak,Mariola,Mateusz
Pawlik,Marlena,Michał
Piątek,Marta,Mieczysław
Pietrzak,Martyna,Mikołaj
Pietrzyk,Maryla,Miłosz
Pluta,Marzanna,Miron
Polak,Marzena,Mirosław
Przybyła,Marzenna,Narcyz
Przybysz,Matylda,Nikodem
Ptak,Melania,Norbert
Rak,Michalina,Olgierd
Ratajczak,Mieczysława,Oskar
