State full,County,City
Stockholms län,Upplands Väsby,Löwenströmska lasarettet
Stockholms län,Vallentuna,Brottby
Stockholms län,Vallentuna,Ekskogen
Stockholms län,Vallentuna,Johannesudd
Stockholms län,Vallentuna,Karby
Stockholms län,Vallentuna,Kårsta
Stockholms län,Vallentuna,Lindholmen
Stockholms län,Vallentuna,Vallentuna
Stockholms län,Österåker,Bammarboda
Stockholms län,Österåker,Rydbo
Stockholms län,Österåker,Solberga
Stockholms län,Österåker,Spånlöt
Stockholms län,Österåker,Stava
Stockholms län,Österåker,Svinninge
Stockholms län,Österåker,Täljö
Stockholms län,Österåker,Åkersberga
Stockholms län,Värmdö,Betsede
Stockholms län,Värmdö,Brunn
Stockholms län,Värmdö,Djurö
Stockholms län,Värmdö,Fågelvikshöjden
Stockholms län,Värmdö,Gustavsberg
Stockholms län,Värmdö,Kopparmora
Stockholms län,Värmdö,Långvik
Stockholms län,Värmdö,Norra Lagnö
Stockholms län,Värmdö,Norra Vindö
Stockholms län,Värmdö,Stavsnäs
Stockholms län,Värmdö,Strömma
Stockholms län,Värmdö,Älvsala
Stockholms län,Värmdö,Ängsvik
Stockholms län,Ekerö,Drottningholm
Stockholms län,Ekerö,Ekeby
Stockholms län,Ekerö,Ekerö
Stockholms län,Ekerö,Ekerö sommarstad
Stockholms län,Ekerö,Helgö
Stockholms län,Ekerö,Hilleshögby
Stockholms län,Ekerö,Jungfrusund
Stockholms län,Ekerö,Kungsberga
Stockholms län,Ekerö,Lilla Stenby
Stockholms län,Ekerö,Lurudden
Stockholms län,Ekerö,Stenhamra
Stockholms län,Ekerö,Sundby
Stockholms län,Ekerö,Söderby
Stockholms län,Ekerö,Tureholm
Stockholms län,Ekerö,Älvnäs
Stockholms län,Ekerö,Ölsta
Stockholms län,Huddinge,Gladö kvarn
Stockholms län,Huddinge,Vidja
Stockholms län,Botkyrka,Kagghamra
Stockholms län,Botkyrka,Norra Riksten
Stockholms län,Botkyrka,Sibble
Stockholms län,Botkyrka,Tumba
Stockholms län,Botkyrka,Vårsta
Stockholms län,Haninge,Dalarö
Stockholms län,Haninge,Jordbro
Stockholms län,Haninge,Muskö
